70세,threescore
어디서든지,whencesoever
어디선가,"sometime, somewhere"
어디에,where
어디에나,anywhere; everywhere
어디에다가,where
어디에든,anywhere
어디엔가,anywhere
어디여!,gee
어디쯤에,whereabouts
어딘가,somewhere
어딘가딴곳에,elsewhere
어딘가로,somewhither
어때,What do you think?
어떠하다,To be how
어떡하다,"To take some measures, to manage somehow"
어떤,"What kind of, what sort of"
어떻게,how
어떻게든,anyhow
어떻게든지,someway
어떻다,"how,what.. do you think of"
어떻든지,somehow
어란,"roe, fish eggs"
어란상,oolite
어란석,roestone
어량,garth
어럽쇼!,begorra
어레미,riddle
어려움,"difficulty,hardship"
어려워지다,To become difficult
어려워하는,coy
어려워하다,to have a difficult time with
어렴풋이,"cloudily, dimly, faintly, hazily, mistily"
어렴풋하게,"faintly, indistinctly. 확실하지도 않은 데 조금 조금씩 .. hazy, foggy"
어렴풋하다,"to be dim, faint, obscure"
어렵다,"to be hard; To be hard, difficult"
어렵사리,"extremely difficult, barely, with difficulty"
어렵쇼,oops
어렵쇼!,yipe
어로법,halieutics
어로원,rigman
어록,"analects,sayings"
어론,ichthyography
어뢰,a torpedo
어뢰정,"PT boat, torpedo boat"
어룡,ichthyosaur
어루만지다,"caress, stroke"
어류,fish
어류지,ichthyography
어류학,ichthyology
어류학자,ichthyologist
어르다,dandle; lull; a way to get the infant to do something joyfully
어르신네,panjadrum
어른,"A man, an adult; a superior or elder; (honorific) your father"
어른거리다,"to haunt a place, to look like a moving shadow"
어른거림,play; twinkling
어리광부리는,caressive
어리다,"one's eyes dim with tears; To be very young, juvenile"
어리둥절,"befuddlement, perplexment, being confused"
어리둥절하다,to be confused
어리둥절하며,stumblingly
어리둥질하다,"stupefied, dazzled, dazed"
어리벙벙해진,cobwebbed
어리보기,galoot
어리상수리흑벌,gall wasp
어리석게,"greenly, innocently and impudently"
어리석게도,"fondly, foolishly"
어리석다,"juvenile,foolish"
어리석은,"absurd, asinine, imbecilic, inane, lamebrained, silly"
어리석은말,imbecility
어리석은사람,sucker
어리석음,"asininity, betise, fatuity, folly, foolishness, inanity, ineptitude, s"
어리호박벌,carpenter bee
어린벌레,nympha
어린아이,"A youngster, a child"
어린애,"A youngster, a child"
어린이,"A youngster, a child"
어린이날,Children's Day (may 5th)
어린이대공원,Grand Childrens Park
어린이포르노,kidporn
어릴때의,early
어림,an underestimate
어림되다,to be rated
어림셈으로,roundly
어림수,a rounded number
어림잡다,"calculate, to rate"
어림짐작,"conjecture, guesswork, taking a shot by guessing"
어림하다,"to calculate, compute, estimate"
어릿광대,"clown, fool, gagster"
어릿광대역,"harlequin, pantaloon or clown"
어릿광대짓,harlequinade
어릿광대짓하다,clown
어마,why
어마나!,creation
어마어마하다,"huge, big"
어망,"a fishing net, a fish net"
어머!,arrah; ha
어머나,"oh my dear, golly, holy cow"
어머나!,"bejabbers, jeez"
어머니다운,maternal
어머니다움,maternity
어머니임,maternity; motherhood
어머니쪽,spindle side
어머님,Mother (respectful word)
어멈,amah
어묵,boiled fish paste
어묵공장,a boiled fish paste factory
어문,linguistics and literature
어물,stock fish
어물거리다,"to be wishy-washy, to waver"
어물어물,sloppily
어물쩍거리다,tergiversate
어물쩍하여,quibblingly
어미,"a dam, a mother animal; an ending on a word"
어미나사,nut
어미변화,flection
어미원소,parent element
어미풍,fishtail wind
어민,"a fisherman, fishermen"
어버이님,parenthood
어버이임,the state of being a parent
어법,"idiom, parlance"
어부,a fisherman
어부의,piscatorial
어부지리,same as 견토지쟁(犬兎之爭) with the main character being a 어부(漁夫) fisherman
어분,"fish flour, fish meal"
어불성설,a lack of logic. 말이 말로 이루어지지 않는다
어살,"a fishpound, a kiddle, a weir (a fish trap of wooden stakes)"
어색하다,"To be awkward, shy with words, speechless"
어색함,constraint; gaucherie
어서,Quickly 2) kindly
어서오십시오,haeremai
어선,"a fisher boat, a fishing boat"
어설프게,fumblingly
어설프다,"slovenly, careless"
어설픈,"fumbling, careless"
어설픈혼란상태의,indigested
어설픔,sciolism; sciolismlist
어세,emphasis
어셈블러,assembler
어셈블리언어,assembly language
어수록하다,"simple, naive"
어수룩하다,"uncomplicated, naive, simple-minded"
어수선하다,piled up in a tangle/mess
어순,word order
어순전환,inversion
어스,"a ground, a ground connection, a ground wire"
어스렁거리는,rambling
어스레하게,dimly; grayly
어스레함,dimness; grayness
어스름,"crepuscule,dim light"
어스름해지다,darkle
어스말,Erse
어슬렁거리다,"mosey, wander about"
어슬렁어슬렁,in a wandering way
어슬프다,lazy
어시장,fishhouse; fish market
어식성의,ichthyophagous
어안,fisheye
어어,"hey, hu-huh"
어어이,ahoy; hoy
어어이!,holla
어업,fishing
어업감독관,fish warden
어업권,fishing rights
어업의,fishing
어여뻐지다,become beautiful
어염시키다,contaminate
어엿하다,sb acting in a way suitable to their position
어요소,word element
어용,for use by the king/government
어용론,pragmatics
어울리게,patly
어울리다,"To be becoming, suiting"
어울림,suitability
어원,the origins of a word
어원상의,etymological
어원학,etymology
어원학자,etymologist
어유,fish oil
어육,fish
어음,the sound of words; a note given to say you'll pay later
어음교환고,exchange
어음수취인,drawee
어음인수거절,nonacceptance
어음장,billbook
어음지급지,domicile
어음첩,notebook
어음할인율,bank rate
어의,signification
어의론,semantic; semanticist
어의반용,antiphrasis
어이가,sense (making sense)
어이없군,"holy shit, that`s unbelievable"
어이없다,fiddlefaddle
어이없이,"gapingly, absolutely dumb-foundedly"
어장,"a fishery, fishing banks, fishing grounds"
어저께,Yesterday
어적어적씹기,chomp
어전,the palace
어전상연,command performance
어정거리다,a large person or animal traipses/saunters about
어정대다,"traipse,wander,prance"
어정어정,meanderingly
어정쩡하다,"to feel ill, uneasy about"
어제,Yesterday
어젯밤,Last night
어조,"a speaking accent, a speaking intonation, note, a speaking tone"
어줍잖다,behaving ridiculously
어중간,about half-way
어중된,halfway
어중음생략,syncope
어중이떠중이,tagrag; everybody and everything
어지간하다,"fairly good, considerably good ; normally encountered ; little more th"
어지간히,"fairly, half, quite"
어지너,agena
어지다,see 어질다
어지러움,stagger; vertigo
어지럽게,dizzily
어지럽다,"To be dizzy 2) to be in chaos, disorganized"
어지럽히다,"disturb, make confused, unsettle, perplex"
어지르다,clutter
어지자지,hermaphrodite
어진,"sage; the King's portrait; adjective form of 어질다 which means nice, benevolent, kind"
어질다,wise and benevolent
어질러진,messy
어질어질하다,spin
어째,"no wonder, that`s why ..."
어째서,"For what reason, why is that"
어쨌든,"In any case, anyhow"
어쩌구,for some reason or other
어쩌다,"By chance, accident"
어쩌다가,"By chance, accident ; sometimes"
어쩌면,"(1) it is possible that 아마도 2) how on earth, how the hell"
어쩐지,"(1) somehow, in a strange way ; (2) in combination with an ending givi"
어쩜,"Well, I guess that, is extremely....."
어찌,"How, in what way, by what means"
어찌나,"extremely,quite,awfully"
어찌하다,"Be subject to an attack of vertigo (figuratively), to not know what th"
어찌하여,"반드시, out of necessity, what do you mean. Used in questions"
어찔어찔하다,turn
어차피,at any rate
어처구니,"extraordinary, unexpected"
어초,fishing banks
어츠,ERTS
어치,worth
어패류,fish and clams taken together
어퍼켓,uppercut
어포,hard fish
어하는,indulgent
어하다,dandle; grandmother; pamper
어학레코드,Linguaphone
어학실습실,language laboratory
어항,fishbowl
어형론,morphology
어형변화,inflection
어획,fishing
어획고,catch
어휘,vocabulary
어휘론,lexis
어휘소,lexeme
어휘의,glossarial
어휘주해자,glossarist
어휘학자,lexicology
어휴!,whew
억,One hundred million
억!,ugh
억겁,for a very long time
억누르다,"constrain, forbear, put down and hold down, refrain, bring under contr"
억누름,pressing
억류,"arrestment, detention, internment, preventive custody"
억류소,detention camp
억류자,detainee
억류하다,detain; intern
억만,uncountable
억만장자,"a billionaire, a multimillionaire, a zillionaire"
억세게,"persistently, unwieldy, tenacious"
억세다,"to be strong, resolute, firm"
억센,"hefty, stout, sturdy"
억셈,burliness; heftiness
억수,downpour
억압,"repression, having a throttlehold"
억압된,"inhibited, repressed"
억압본능,repression
억압자,depressor
억압적,repressive
억압적인,repressive
억압하다,to repress
억양,"cadence, inflection, modulation"
억울하다,"To be regrettable, disappointing"
억울함,chagrin; mortification
억음의,grave
억제,"check, control, domination, repression, restraint, suppression"
억제되지않은,unrestrained
억제의,immunosuppressive
억제자,"inhibitor, restrainer, suppressor"
억제제,retarder
억제체,repressor
억제하는,contained; inhibitive
억제하여,restrainedly
억조,gillion
억지,"the quality of being pushy, having a strong self will, stubborness; arrestation, force sth to not be being done"
억지로,"constrainedly, forcibly, unwillingly"
억지로시키다,compel
억지맞춤,distortion
억지스러운,intractable (stubborn)
억지의,"compelled, forced, strained"
억지이론,choplogic
억척,"tough, never giving up, stubborn"
억척꾸러기,snorter
억척스러운,impracticable
억척스러움,"sticktoitiveness, tenacity"
억척스럽다,stubborn
억측,"conjecture, sumption"
억측하다,conjecture
억합하다,repress
언,"frozen, numb (얼다)"
언급,"citation, reference"
언급하다,"cite, mention, refer to"
언니,Older sister
언니살해,sororicide
언달러맨,dollarayear man
언더코팅,undercoat
언덕,A hill
언덕의,hilltop
언동,histrionics
언드런,earned run
언뜻,in a flash
언론,"A speech, discussion"
언론계,fourth estate; fourthestate
언론법,press law
언론사,a press agency
언리학,glossematics
언명,"constatation, enunciation"
언명적인,enunciative
언명하다,declare; enounce
언비천리,word travel for a thousand 리
언사,"words, speech, language"
언설,utterance
언어관,the point of view from inside a language
언어능력,speech
언어도단,말의 길이 끊어졌다는 뜻! .... you are so shocked you don`t know what to say. to 
언어로,verbally
언어자료,corpus
언어지도,linguistic atlas
언어지리학,linguistic geography
언어학,linguistics
언어학자,a linguist
언어형식,speech from
언외의,implied
언잖아하는,shirty
언재쯤,approximately when; about when
언쟁,a verbal altercation
언쟁하다,"altercate, argue verbally"
언저리,rim
언저리의,marginal
언제,"when,at what time"
언제나,"everytime,always"
언제나의,usual
언제나처럼,"as much as ever, the same as it always is"
언제든지,anytime
언제든지하려는,ready
언중유골,double-speak
언질,commitment
언짢다,"displeasing, or somehow not fun at all"
언짢아하는,acescent
언짢음,to be(feel) spleenful/feel bad/squeemish
언청이,cleft lip; harelip
언청이의,harelipped; rabbit-mouthed
언행일치,consistency of words and behavior
얹다,"Put on, place, lay, set"
얹어주다,throw something in for good measure
얹혀살다,"to sponge off somebody else, to live off somebody else"
얹혀있다,rest
얹히다,"to be placed, to be put on . 놓이다; to be dependent on, to depend on; to run against, get grounded on (a ship, rocks/a coast)"
얻게하다,notch
얻고싶어하는,acquisitive
얻어내다,inveigle
얻어먹다,Go about begging
얼,spirit/정신
얼간이,"dimwit, fuckup, peabrain"
얼간한,mildcured
얼거림,mutter
얼게하는,refrigerant
얼게하다,freeze; nip
얼굴,Face
얼굴생김새,aspect
얼근히,"moistened, wettened"
얼기설기,"twisted into a knot, convoluted"
얼다,"Freeze, be frozen"
얼도록,freezingly
얼떨결,a moment of confusion
얼떨결에,in a moment of confusion
얼떨떨하다,"at a complete loss, stupefied ; perplexed"
얼뜨기,"a dummy, a halfwit, a meathead"
얼뜨다,to be a chicken in the face of fear; to perform stupidly and badly
얼뜬,fatheaded
얼렁뚱땅,sloppy
얼레,reel
얼룩갈색의,brindle
얼룩개,brindle
얼룩덜룩함,variegation
얼룩마노,onyx
얼룩말,zebra
얼룩말속의,zebrine
얼룩무늬,brindle
얼룩뱀,carpet snake
얼룩의,piebald
얼룩의-얼룩말,pinto
얼룩지다,stain; dapple
얼룩진,"blotched, dappled, mottled, pecky, skewbald"
얼룩진색,brindle
얼룩진얼룩고양이,(a tabby cat
얼룩투성이의,spotty
얼른,"Fast, quickly, rapidly"
얼른거리다,flicker
얼리다,"Freeze, make ice"
얼마,"How many, how much"
얼마나,"How many, how much ; very"
얼마든지,"any; some, a certain number of"
얼마만큼,how
얼마안되는,limited
얼마안있어,anon; eftsoon
얼마의,what
얼마이에요?,how much does it cost
얼버무리다,"tergiversate, speak ambiguously, equivocate"
